part_number,part_description,material,dimensions,category
FAS-BEARINGHOUSING-00023,BEARING HOUSING SERIES 6205-OPEN RUBBER,Rubber,Series 6205-Open,Bearings
FAS-RELAY-00024,RELAY  NYLON,Nylon,"",Electrical
FAS-FLATHEADSCREW-00025,FLAT HEAD SCREW M10X1.0X16MM GRADE 8,Grade 8,M10x1.0x16mm,Fasteners
FAS-VALVE-00026,VALVE  COPPER,Copper,"",Hydraulic/Pneumatic
FAS-FLATHEADSCREW-00027,FLAT HEAD SCREW M12X2.5X10MM YELLOW BRASS,Yellow Brass,M12x2.5x10mm,Fasteners
FAS-LOCKNUT-00028,LOCK NUT  GRADE 5,Grade 5,"",Fasteners
FAS-THREADEDROD-00029,THREADED ROD  TYPE 304,Type 304,"",Fasteners
FAS-O-RING-00030,O-RING 18MM ID X 3.0MM CS COPPER,Copper,18mm ID x 3.0mm CS,Seals & Gaskets
FAS-SHAFTSEAL-00031,SHAFT SEAL  FKM,FKM,"",Seals & Gaskets
FAS-GASKET-00032,GASKET  52100,52100,"",Seals & Gaskets
FAS-SETSCREW-00033,SET SCREW M6X2.0X10MM BLACK OXIDE,Black Oxide,M6x2.0x10mm,Fasteners
FAS-FLATHEADSCREW-00034,FLAT HEAD SCREW M8X2.0X16MM 304 SS,304 SS,M8x2.0x16mm,Fasteners
FAS-FITTING-00035,FITTING  NITRILE,Nitrile,"",Hydraulic/Pneumatic
FAS-ROLLERBEARING-00036,ROLLER BEARING SERIES 6201-2RS NYLON,Nylon,Series 6201-2RS,Bearings
FAS-FITTING-00037,FITTING  BUNA-N,Buna-N,"",Hydraulic/Pneumatic
FAS-RELAY-00038,RELAY  NYLON,Nylon,"",Electrical
FAS-HEXNUT-00039,HEX NUT  PLAIN STEEL,Plain Steel,"",Fasteners
FAS-LOCKWASHER-00040,LOCK WASHER  GR 8,Gr 8,"",Fasteners
FAS-HOSE-00041,HOSE  FKM,FKM,"",Hydraulic/Pneumatic
FAS-FITTING-00042,FITTING  VITON,Viton,"",Hydraulic/Pneumatic
FAS-SHCS-00043,SHCS M20X1.25X25MM BLACK OXIDE,Black Oxide,M20x1.25x25mm,Fasteners
FAS-FITTING-00044,FITTING  NYLON,Nylon,"",Hydraulic/Pneumatic
FAS-TERMINAL-00045,TERMINAL  BUNA-N,Buna-N,"",Electrical
FAS-FLATWASHER-00046,FLAT WASHER  BRASS,Brass,"",Fasteners
FAS-LOCKNUT-00047,LOCK NUT  GRADE 5,Grade 5,"",Fasteners
FAS-FLANGENUT-00048,FLANGE NUT  BLACK OXIDE,Black Oxide,"",Fasteners
FAS-LOCKNUT-00049,LOCK NUT  PLAIN STEEL,Plain Steel,"",Fasteners
FAS-HEXNUT-00050,HEX NUT  CS,CS,"",Fasteners
FAS-FLANGENUT-00051,FLANGE NUT  316 SS,316 SS,"",Fasteners
FAS-LOCKNUT-00052,LOCK NUT  CS,CS,"",Fasteners
FAS-FLANGENUT-00053,FLANGE NUT  CS,CS,"",Fasteners
FAS-FLATWASHER-00054,FLAT WASHER  SS,SS,"",Fasteners
FAS-HEXNUT-00055,HEX NUT  PLAIN STEEL,Plain Steel,"",Fasteners
FAS-SWITCH-00056,SWITCH  NBR,NBR,"",Electrical
FAS-NEEDLEBEARING-00057,NEEDLE BEARING SERIES 6200-2RS BUNA-N,Buna-N,Series 6200-2RS,Bearings
FAS-BEARINGHOUSING-00058,BEARING HOUSING SERIES 6205-ZZ BARE COPPER,Bare Copper,Series 6205-ZZ,Bearings
FAS-NEEDLEBEARING-00059,NEEDLE BEARING SERIES 6202-OPEN NITRILE,Nitrile,Series 6202-Open,Bearings
FAS-WIRE-00060,WIRE  POLYAMIDE,Polyamide,"",Electrical
FAS-FLATHEADSCREW-00061,"FLAT HEAD SCREW 3/8""-18 X 1-1/2"" CS",CS,"3/8""-18 x 1-1/2""",Fasteners
FAS-HB-00062,HB M4X0.8X30MM 316,316,M4x0.8x30mm,Fasteners
FAS-SETSCREW-00063,SET SCREW M12X2.0X16MM BRASS,Brass,M12x2.0x16mm,Fasteners
FAS-THREADEDROD-00064,THREADED ROD  CARBON STEEL,Carbon Steel,"",Fasteners
FAS-WIRE-00065,WIRE  NYLON,Nylon,"",Electrical
FAS-FLANGENUT-00066,FLANGE NUT  STAINLESS,Stainless,"",Fasteners
FAS-HB-00067,HB M12X2.0X50MM GR 8,Gr 8,M12x2.0x50mm,Fasteners
FAS-THREADEDROD-00068,THREADED ROD  CARBON STEEL,Carbon Steel,"",Fasteners
FAS-THREADEDROD-00069,THREADED ROD  YELLOW BRASS,Yellow Brass,"",Fasteners
FAS-FLATWASHER-00070,FLAT WASHER  CARBON STEEL,Carbon Steel,"",Fasteners
FAS-HEXNUT-00071,HEX NUT  STAINLESS,Stainless,"",Fasteners
FAS-BEARINGHOUSING-00072,BEARING HOUSING SERIES 6204-OPEN BEARING STEEL,Bearing Steel,Series 6204-Open,Bearings
FAS-FILTER-00073,FILTER  BEARING STEEL,Bearing Steel,"",Other
FAS-SPRING-00074,SPRING  BUNA-N,Buna-N,"",Other
FAS-RELAY-00075,RELAY  NYLON,Nylon,"",Electrical
FAS-LOCKWASHER-00076,LOCK WASHER  GRADE 8,Grade 8,"",Fasteners
FAS-THREADEDROD-00077,THREADED ROD  316,316,"",Fasteners
FAS-FLATHEADSCREW-00078,"FLAT HEAD SCREW 1/2""-18 X 1-1/2"" GRADE 5",Grade 5,"1/2""-18 x 1-1/2""",Fasteners
FAS-O-RING-00079,O-RING 31MM ID X 2.0MM CS NYLON,Nylon,31mm ID x 2.0mm CS,Seals & Gaskets
FAS-HEXNUT-00080,HEX NUT  304 SS,304 SS,"",Fasteners
FAS-OILSEAL-00081,OIL SEAL  COPPER,Copper,"",Seals & Gaskets
FAS-SHAFTSEAL-00082,SHAFT SEAL  52100,52100,"",Seals & Gaskets
FAS-FITTING-00083,FITTING  CHROME STEEL,Chrome Steel,"",Hydraulic/Pneumatic
FAS-OILSEAL-00084,OIL SEAL  BEARING STEEL,Bearing Steel,"",Seals & Gaskets
FAS-FUSE-00085,FUSE  BARE COPPER,Bare Copper,"",Electrical
FAS-FLATWASHER-00086,FLAT WASHER  TYPE 304,Type 304,"",Fasteners
FAS-LUBRICANT-00087,LUBRICANT  RUBBER,Rubber,"",Other
FAS-WIRE-00088,WIRE  FLUOROCARBON,Fluorocarbon,"",Electrical
FAS-RELAY-00089,RELAY  POLYAMIDE,Polyamide,"",Electrical
FAS-RELAY-00090,RELAY  52100,52100,"",Electrical
FAS-ROLLERBEARING-00091,ROLLER BEARING SERIES 6200-2RS RUBBER,Rubber,Series 6200-2RS,Bearings
FAS-LOCKNUT-00092,LOCK NUT  GRADE 8,Grade 8,"",Fasteners
FAS-SHAFTSEAL-00093,SHAFT SEAL  POLYAMIDE,Polyamide,"",Seals & Gaskets
FAS-RELAY-00094,RELAY  52100,52100,"",Electrical
FAS-FLATHEADSCREW-00095,"FLAT HEAD SCREW 3/8""-28 X 1/2"" BRASS",Brass,"3/8""-28 x 1/2""",Fasteners
FAS-HEXNUT-00096,HEX NUT  GRADE 5,Grade 5,"",Fasteners
FAS-THRUSTBEARING-00097,THRUST BEARING SERIES 6202-2RS FLUOROCARBON,Fluorocarbon,Series 6202-2RS,Bearings
FAS-HB-00098,"HB 3/8""-11 X 2"" 304 SS",304 SS,"3/8""-11 x 2""",Fasteners
FAS-ADHESIVE-00099,ADHESIVE  BARE COPPER,Bare Copper,"",Other
FAS-BEARINGHOUSING-00100,BEARING HOUSING SERIES 6202-OPEN POLYAMIDE,Polyamide,Series 6202-Open,Bearings
FAS-SHCS-00101,SHCS M20X2.0X16MM STAINLESS,Stainless,M20x2.0x16mm,Fasteners
FAS-LUBRICANT-00102,LUBRICANT  52100,52100,"",Other
FAS-SHCS-00103,SHCS M20X0.8X40MM BLACK OXIDE,Black Oxide,M20x0.8x40mm,Fasteners
FAS-OILSEAL-00104,OIL SEAL  POLYAMIDE,Polyamide,"",Seals & Gaskets
FAS-SETSCREW-00105,SET SCREW M20X0.7X40MM A4-80,A4-80,M20x0.7x40mm,Fasteners
FAS-FLANGENUT-00106,FLANGE NUT  BLACK OXIDE,Black Oxide,"",Fasteners
FAS-SWITCH-00107,SWITCH  NBR,NBR,"",Electrical
FAS-FILTER-00108,FILTER  CHROME STEEL,Chrome Steel,"",Other
FAS-GASKET-00109,GASKET  FLUOROCARBON,Fluorocarbon,"",Seals & Gaskets
FAS-LOCKNUT-00110,LOCK NUT  316,316,"",Fasteners
FAS-THREADEDROD-00111,THREADED ROD  316,316,"",Fasteners
FAS-CONNECTOR-00112,CONNECTOR  RUBBER,Rubber,"",Electrical
FAS-FUSE-00113,FUSE  BARE COPPER,Bare Copper,"",Electrical
FAS-LOCKWASHER-00114,LOCK WASHER  PLAIN STEEL,Plain Steel,"",Fasteners
FAS-FLANGENUT-00115,FLANGE NUT  GRADE 5,Grade 5,"",Fasteners
