part_number,part_description,material,dimensions,category
98872A454,"Carbon Steel Flat Head Screw, 3/8""-18  Thread Size,  1-1/2"" Length",,,
93361A642,"Brass Set Screw, M12 Thread Size, 2.0 Thread Size, 16mm Length",,,
97511A865,"316 Hex Nut,  Length",,,
93321A239,"CS Threaded Rod,  Length",,,
95051A574,"A2-70 Flat Head Screw, M8 Thread Size, 1.75 Thread Size, 40mm Length",,,
99884A141,"316 Set Screw, M5 Thread Size, 1.0 Thread Size, 60mm Length",,,
92290A224,"SS Hex Nut,  Length",,,
93239A761,"Copper Filter,  Length",,,
95799A319,"Carbon Steel Hex Nut,  Length",,,
94835A610,"Copper Relay,  Length",,,
94583A492,"Nylon Relay,  Length",,,
98907A913,"Carbon Steel Lock Washer,  Length",,,
95269A497,"Grade 5 Flat Head Screw, 1/2""-18  Thread Size,  1-1/2"" Length",,,
97728A642,"Nylon O-Ring, 31mm ID  Thread Size,  2.0mm CS Length",,,
91640A353,"Carbon Steel Set Screw, 5/16""-24  Thread Size,  3/4"" Length",,,
95813A959,"Yellow Brass Flat Head Screw, M20 Thread Size, 0.7 Thread Size, 50mm Length",,,
95210A925,"Type 316 Flat Washer,  Length, meets DIN 125 / ISO 7089",,,
93811A716,"Copper Switch,  Length",,,
90975A122,"Bare Copper Adhesive,  Length",,,
91817A966,"Chrome Steel Fitting,  Length",,,
94944A430,"Bare Copper Ball Bearing, Series 6202-ZZ Length",,,
92854A824,"52100 Wire,  Length",,,
95846A328,"Fluorocarbon Connector,  Length",,,
99869A425,"Carbon Steel Socket Head Cap Screw, M6 Thread Size, 0.7 Thread Size, 30mm Length, meets DIN 912 / ISO 4762",,,
92750A751,"52100 Oil Seal,  Length",,,
90186A371,"Rubber Ball Bearing, Series 6201-ZZ Length",,,
95754A659,"Bare Copper Fuse,  Length",,,
95600A274,"Viton Bearing Housing, Series 6202-2RS Length",,,
98962A195,"SS Lock Nut,  Length",,,
90877A203,"Brass Socket Head Cap Screw, 1/4""-11  Thread Size,  1-1/2"" Length, meets DIN 912 / ISO 4762",,,
94612A404,"NBR Lubricant,  Length",,,
94825A943,"Viton Wire,  Length",,,
96078A490,"Stainless Set Screw, 3/8""-11  Thread Size,  1-1/4"" Length",,,
99244A163,"52100 Clip,  Length",,,
99070A162,"Nylon Shaft Seal,  Length",,,
92415A223,"Fluorocarbon Thrust Bearing, Series 6202-2RS Length",,,
93308A942,"A2-70 Hex Bolt, 3/8""-11  Thread Size,  2"" Length, meets DIN 933 / ISO 4014",,,
91425A497,"Copper Adhesive,  Length",,,
97506A994,"Type 316 Socket Head Cap Screw, 3/8""-13  Thread Size,  1-1/2"" Length, meets DIN 912 / ISO 4762",,,
96275A770,"18-8 Socket Head Cap Screw, M20 Thread Size, 2.0 Thread Size, 16mm Length, meets DIN 912 / ISO 4762",,,
96102A120,"Polyamide Oil Seal,  Length",,,
92201A407,"Chrome Steel Needle Bearing, Series 6204-ZZ Length",,,
96828A719,"Black Oxide Flange Nut,  Length",,,
90944A355,"Stainless Lock Nut,  Length",,,
90500A347,"Copper Bearing Housing, Series 6204-Open Length",,,
99615A664,"A4-80 Threaded Rod,  Length",,,
93626A762,"Copper Gasket,  Length",,,
90145A585,"Nylon Quick-Connect,  Length",,,
93666A358,"Copper Fuse,  Length",,,
99576A204,"Gr 5 Flange Nut,  Length",,,
