canonical_part_id,canonical_description,source,part_number
63b791f0-c8f6-4169-bddc-cc36d6bab213,Stainless Steel Hex Nut Standard Configuration,Source3,HEXNUT-4
63b791f0-c8f6-4169-bddc-cc36d6bab213,Stainless Steel Hex Nut Standard Configuration,Source4,00004
83708039-cf88-4613-b5c2-8f7f869384fd,Plastic Gasket Standard Configuration,Customer,ERP-1000005
83708039-cf88-4613-b5c2-8f7f869384fd,Plastic Gasket Standard Configuration,Source1,FAS-GASKET-00005
83708039-cf88-4613-b5c2-8f7f869384fd,Plastic Gasket Standard Configuration,Source2,94888A574
83708039-cf88-4613-b5c2-8f7f869384fd,Plastic Gasket Standard Configuration,Source3,GASKET-5
83708039-cf88-4613-b5c2-8f7f869384fd,Plastic Gasket Standard Configuration,Source4,00005
a34639fc-2489-4cf7-8566-b8c5f7840dd8,Stainless Steel Lock Nut Standard Configuration,Customer,ERP-1000006
a34639fc-2489-4cf7-8566-b8c5f7840dd8,Stainless Steel Lock Nut Standard Configuration,Source1,FAS-LOCKNUT-00006
a34639fc-2489-4cf7-8566-b8c5f7840dd8,Stainless Steel Lock Nut Standard Configuration,Source2,91848A132
a34639fc-2489-4cf7-8566-b8c5f7840dd8,Stainless Steel Lock Nut Standard Configuration,Source3,LOCKNUT-6
a34639fc-2489-4cf7-8566-b8c5f7840dd8,Stainless Steel Lock Nut Standard Configuration,Source4,00006
bf888231-befb-421a-81d9-5ae69e9549a5,Carbon Steel Lock Nut Standard Configuration,Customer,ERP-1000007
bf888231-befb-421a-81d9-5ae69e9549a5,Carbon Steel Lock Nut Standard Configuration,Source1,FAS-LOCKNUT-00007
bf888231-befb-421a-81d9-5ae69e9549a5,Carbon Steel Lock Nut Standard Configuration,Source2,90797A350
bf888231-befb-421a-81d9-5ae69e9549a5,Carbon Steel Lock Nut Standard Configuration,Source3,LOCKNUT-7
bf888231-befb-421a-81d9-5ae69e9549a5,Carbon Steel Lock Nut Standard Configuration,Source4,00007
a1c3c457-90bc-4693-9e95-9c1ac79d9ebb,Steel Relay Standard Configuration,Customer,ERP-1000008
a1c3c457-90bc-4693-9e95-9c1ac79d9ebb,Steel Relay Standard Configuration,Source1,FAS-RELAY-00008
a1c3c457-90bc-4693-9e95-9c1ac79d9ebb,Steel Relay Standard Configuration,Source2,93836A935
a1c3c457-90bc-4693-9e95-9c1ac79d9ebb,Steel Relay Standard Configuration,Source3,RELAY-8
a1c3c457-90bc-4693-9e95-9c1ac79d9ebb,Steel Relay Standard Configuration,Source4,00008
6f7da16a-4f21-4157-8f7d-9fbed024554a,Rubber Spring Standard Configuration,Customer,ERP-1000009
6f7da16a-4f21-4157-8f7d-9fbed024554a,Rubber Spring Standard Configuration,Source1,FAS-SPRING-00009
6f7da16a-4f21-4157-8f7d-9fbed024554a,Rubber Spring Standard Configuration,Source2,98540A326
6f7da16a-4f21-4157-8f7d-9fbed024554a,Rubber Spring Standard Configuration,Source3,SPRING-9
6f7da16a-4f21-4157-8f7d-9fbed024554a,Rubber Spring Standard Configuration,Source4,00009
8168198d-3d09-4837-9949-f4ff896dac5b,Plastic Switch Standard Configuration,Customer,ERP-1000010
8168198d-3d09-4837-9949-f4ff896dac5b,Plastic Switch Standard Configuration,Source1,FAS-SWITCH-00010
8168198d-3d09-4837-9949-f4ff896dac5b,Plastic Switch Standard Configuration,Source2,98592A426
8168198d-3d09-4837-9949-f4ff896dac5b,Plastic Switch Standard Configuration,Source3,SWITCH-10
8168198d-3d09-4837-9949-f4ff896dac5b,Plastic Switch Standard Configuration,Source4,00010
243eb34d-ccc0-4d4a-a2af-31306d06fd71,Viton O-Ring 15mm ID x 2.0mm CS,Customer,ERP-1000011
243eb34d-ccc0-4d4a-a2af-31306d06fd71,Viton O-Ring 15mm ID x 2.0mm CS,Source1,FAS-O-RING-00011
243eb34d-ccc0-4d4a-a2af-31306d06fd71,Viton O-Ring 15mm ID x 2.0mm CS,Source2,92365A925
243eb34d-ccc0-4d4a-a2af-31306d06fd71,Viton O-Ring 15mm ID x 2.0mm CS,Source3,O-RING-11
243eb34d-ccc0-4d4a-a2af-31306d06fd71,Viton O-Ring 15mm ID x 2.0mm CS,Source4,00011
79235f9c-c4eb-4874-bcda-810f7d7a813c,Plastic Cylinder Standard Configuration,Customer,ERP-1000012
79235f9c-c4eb-4874-bcda-810f7d7a813c,Plastic Cylinder Standard Configuration,Source1,FAS-CYLINDER-00012
79235f9c-c4eb-4874-bcda-810f7d7a813c,Plastic Cylinder Standard Configuration,Source2,93331A438
79235f9c-c4eb-4874-bcda-810f7d7a813c,Plastic Cylinder Standard Configuration,Source3,CYLINDER-12
79235f9c-c4eb-4874-bcda-810f7d7a813c,Plastic Cylinder Standard Configuration,Source4,00012
8024ca5e-788e-4e23-b03c-cb825bf2f90c,Needle Bearing Series 6202-ZZ,Customer,ERP-1000013
8024ca5e-788e-4e23-b03c-cb825bf2f90c,Needle Bearing Series 6202-ZZ,Source1,FAS-NEEDLEBEARING-00013
8024ca5e-788e-4e23-b03c-cb825bf2f90c,Needle Bearing Series 6202-ZZ,Source2,99911A717
8024ca5e-788e-4e23-b03c-cb825bf2f90c,Needle Bearing Series 6202-ZZ,Source3,NEEDLEBEARING-13
8024ca5e-788e-4e23-b03c-cb825bf2f90c,Needle Bearing Series 6202-ZZ,Source4,00013
beb65bf1-8d1d-4b06-9708-12459b21c653, O-Ring 44mm ID x 2.0mm CS,Customer,ERP-1000014
beb65bf1-8d1d-4b06-9708-12459b21c653, O-Ring 44mm ID x 2.0mm CS,Source1,FAS-O-RING-00014
beb65bf1-8d1d-4b06-9708-12459b21c653, O-Ring 44mm ID x 2.0mm CS,Source2,90251A316
beb65bf1-8d1d-4b06-9708-12459b21c653, O-Ring 44mm ID x 2.0mm CS,Source3,O-RING-14
beb65bf1-8d1d-4b06-9708-12459b21c653, O-Ring 44mm ID x 2.0mm CS,Source4,00014
d0a1c19d-fcc0-438c-8f4d-17678f64df32,Carbon Steel Flange Nut Standard Configuration,Customer,ERP-1000015
d0a1c19d-fcc0-438c-8f4d-17678f64df32,Carbon Steel Flange Nut Standard Configuration,Source1,FAS-FLANGENUT-00015
d0a1c19d-fcc0-438c-8f4d-17678f64df32,Carbon Steel Flange Nut Standard Configuration,Source2,93921A665
d0a1c19d-fcc0-438c-8f4d-17678f64df32,Carbon Steel Flange Nut Standard Configuration,Source3,FLANGENUT-15
d0a1c19d-fcc0-438c-8f4d-17678f64df32,Carbon Steel Flange Nut Standard Configuration,Source4,00015
6e95fc68-0c28-42e2-a0b7-deece220158c,Viton O-Ring 30mm ID x 3.0mm CS,Customer,ERP-1000016
6e95fc68-0c28-42e2-a0b7-deece220158c,Viton O-Ring 30mm ID x 3.0mm CS,Source1,FAS-O-RING-00016
6e95fc68-0c28-42e2-a0b7-deece220158c,Viton O-Ring 30mm ID x 3.0mm CS,Source2,97635A200
6e95fc68-0c28-42e2-a0b7-deece220158c,Viton O-Ring 30mm ID x 3.0mm CS,Source3,O-RING-16
6e95fc68-0c28-42e2-a0b7-deece220158c,Viton O-Ring 30mm ID x 3.0mm CS,Source4,00016
d887ce70-472b-49f6-b10e-318280693e40,"Brass Set Screw 5/16""-20 x 1-1/4""",Customer,ERP-1000017
d887ce70-472b-49f6-b10e-318280693e40,"Brass Set Screw 5/16""-20 x 1-1/4""",Source1,FAS-SETSCREW-00017
d887ce70-472b-49f6-b10e-318280693e40,"Brass Set Screw 5/16""-20 x 1-1/4""",Source2,90265A367
d887ce70-472b-49f6-b10e-318280693e40,"Brass Set Screw 5/16""-20 x 1-1/4""",Source3,SETSCREW-17
d887ce70-472b-49f6-b10e-318280693e40,"Brass Set Screw 5/16""-20 x 1-1/4""",Source4,00017
24434f44-8bb6-4ed4-a2e7-12cc1d65746d,Rubber Cylinder Standard Configuration,Customer,ERP-1000018
24434f44-8bb6-4ed4-a2e7-12cc1d65746d,Rubber Cylinder Standard Configuration,Source1,FAS-CYLINDER-00018
24434f44-8bb6-4ed4-a2e7-12cc1d65746d,Rubber Cylinder Standard Configuration,Source2,98180A663
24434f44-8bb6-4ed4-a2e7-12cc1d65746d,Rubber Cylinder Standard Configuration,Source3,CYLINDER-18
24434f44-8bb6-4ed4-a2e7-12cc1d65746d,Rubber Cylinder Standard Configuration,Source4,00018
a30f5d13-a24d-4026-b80a-ac8544dcbec8,Brass Lock Washer Standard Configuration,Customer,ERP-1000019
a30f5d13-a24d-4026-b80a-ac8544dcbec8,Brass Lock Washer Standard Configuration,Source1,FAS-LOCKWASHER-00019
a30f5d13-a24d-4026-b80a-ac8544dcbec8,Brass Lock Washer Standard Configuration,Source2,95770A273
a30f5d13-a24d-4026-b80a-ac8544dcbec8,Brass Lock Washer Standard Configuration,Source3,LOCKWASHER-19
a30f5d13-a24d-4026-b80a-ac8544dcbec8,Brass Lock Washer Standard Configuration,Source4,00019
1b15600c-b964-464a-bf8e-e23a491c89d5,Copper Shaft Seal Standard Configuration,Customer,ERP-1000020
1b15600c-b964-464a-bf8e-e23a491c89d5,Copper Shaft Seal Standard Configuration,Source1,FAS-SHAFTSEAL-00020
1b15600c-b964-464a-bf8e-e23a491c89d5,Copper Shaft Seal Standard Configuration,Source2,90104A522
1b15600c-b964-464a-bf8e-e23a491c89d5,Copper Shaft Seal Standard Configuration,Source3,SHAFTSEAL-20
1b15600c-b964-464a-bf8e-e23a491c89d5,Copper Shaft Seal Standard Configuration,Source4,00020
4448a23a-4e17-4dbb-a750-647c326b8b34,"Brass Flat Head Screw 1/4""-20 x 1/2""",Customer,ERP-1000021
4448a23a-4e17-4dbb-a750-647c326b8b34,"Brass Flat Head Screw 1/4""-20 x 1/2""",Source1,FAS-FLATHEADSCREW-00021
4448a23a-4e17-4dbb-a750-647c326b8b34,"Brass Flat Head Screw 1/4""-20 x 1/2""",Source2,97993A116
4448a23a-4e17-4dbb-a750-647c326b8b34,"Brass Flat Head Screw 1/4""-20 x 1/2""",Source3,FLATHEADSCREW-21
4448a23a-4e17-4dbb-a750-647c326b8b34,"Brass Flat Head Screw 1/4""-20 x 1/2""",Source4,00021
496cab4b-eebe-416e-b4a8-f3f2abfe5e87,Carbon Steel Flat Head Screw M16x2.0x60mm,Customer,ERP-1000022
496cab4b-eebe-416e-b4a8-f3f2abfe5e87,Carbon Steel Flat Head Screw M16x2.0x60mm,Source1,FAS-FLATHEADSCREW-00022
496cab4b-eebe-416e-b4a8-f3f2abfe5e87,Carbon Steel Flat Head Screw M16x2.0x60mm,Source2,92937A209
496cab4b-eebe-416e-b4a8-f3f2abfe5e87,Carbon Steel Flat Head Screw M16x2.0x60mm,Source3,FLATHEADSCREW-22
496cab4b-eebe-416e-b4a8-f3f2abfe5e87,Carbon Steel Flat Head Screw M16x2.0x60mm,Source4,00022
98ce4e64-a5fc-499e-b69a-dac65ace4243,Bearing Housing Series 6205-Open,Customer,ERP-1000023
98ce4e64-a5fc-499e-b69a-dac65ace4243,Bearing Housing Series 6205-Open,Source1,FAS-BEARINGHOUSING-00023
98ce4e64-a5fc-499e-b69a-dac65ace4243,Bearing Housing Series 6205-Open,Source2,96112A515
98ce4e64-a5fc-499e-b69a-dac65ace4243,Bearing Housing Series 6205-Open,Source3,BEARINGHOUSING-23
98ce4e64-a5fc-499e-b69a-dac65ace4243,Bearing Housing Series 6205-Open,Source4,00023
9af522d9-3eb3-42fa-a9f9-5aa8d19cabad,Plastic Relay Standard Configuration,Customer,ERP-1000024
9af522d9-3eb3-42fa-a9f9-5aa8d19cabad,Plastic Relay Standard Configuration,Source1,FAS-RELAY-00024
9af522d9-3eb3-42fa-a9f9-5aa8d19cabad,Plastic Relay Standard Configuration,Source2,96213A486
9af522d9-3eb3-42fa-a9f9-5aa8d19cabad,Plastic Relay Standard Configuration,Source3,RELAY-24
9af522d9-3eb3-42fa-a9f9-5aa8d19cabad,Plastic Relay Standard Configuration,Source4,00024
a3b4e24d-5d39-4dd8-aeca-461dbff7057c,Carbon Steel Flat Head Screw M10x1.0x16mm,Customer,ERP-1000025
a3b4e24d-5d39-4dd8-aeca-461dbff7057c,Carbon Steel Flat Head Screw M10x1.0x16mm,Source1,FAS-FLATHEADSCREW-00025
a3b4e24d-5d39-4dd8-aeca-461dbff7057c,Carbon Steel Flat Head Screw M10x1.0x16mm,Source2,98653A143
a3b4e24d-5d39-4dd8-aeca-461dbff7057c,Carbon Steel Flat Head Screw M10x1.0x16mm,Source3,FLATHEADSCREW-25
a3b4e24d-5d39-4dd8-aeca-461dbff7057c,Carbon Steel Flat Head Screw M10x1.0x16mm,Source4,00025
cc2eb61c-98d0-41cb-b5b0-50b29e303c76,Copper Valve Standard Configuration,Customer,ERP-1000026
cc2eb61c-98d0-41cb-b5b0-50b29e303c76,Copper Valve Standard Configuration,Source1,FAS-VALVE-00026
cc2eb61c-98d0-41cb-b5b0-50b29e303c76,Copper Valve Standard Configuration,Source2,95152A116
cc2eb61c-98d0-41cb-b5b0-50b29e303c76,Copper Valve Standard Configuration,Source3,VALVE-26
cc2eb61c-98d0-41cb-b5b0-50b29e303c76,Copper Valve Standard Configuration,Source4,00026
c57623a5-118b-4dc5-8b3e-908888f1c4df,Brass Flat Head Screw M12x2.5x10mm,Customer,ERP-1000027
c57623a5-118b-4dc5-8b3e-908888f1c4df,Brass Flat Head Screw M12x2.5x10mm,Source1,FAS-FLATHEADSCREW-00027
c57623a5-118b-4dc5-8b3e-908888f1c4df,Brass Flat Head Screw M12x2.5x10mm,Source2,92292A909
c57623a5-118b-4dc5-8b3e-908888f1c4df,Brass Flat Head Screw M12x2.5x10mm,Source3,FLATHEADSCREW-27
c57623a5-118b-4dc5-8b3e-908888f1c4df,Brass Flat Head Screw M12x2.5x10mm,Source4,00027
d091d4b1-c441-4c7a-bae9-f786ebe476f8,Carbon Steel Lock Nut Standard Configuration,Customer,ERP-1000028
d091d4b1-c441-4c7a-bae9-f786ebe476f8,Carbon Steel Lock Nut Standard Configuration,Source1,FAS-LOCKNUT-00028
d091d4b1-c441-4c7a-bae9-f786ebe476f8,Carbon Steel Lock Nut Standard Configuration,Source2,99758A506
d091d4b1-c441-4c7a-bae9-f786ebe476f8,Carbon Steel Lock Nut Standard Configuration,Source3,LOCKNUT-28
d091d4b1-c441-4c7a-bae9-f786ebe476f8,Carbon Steel Lock Nut Standard Configuration,Source4,00028
656e7ef4-c37f-4b6e-9d49-a4907d2933a7,Stainless Steel Threaded Rod Standard Configuration,Customer,ERP-1000029
656e7ef4-c37f-4b6e-9d49-a4907d2933a7,Stainless Steel Threaded Rod Standard Configuration,Source1,FAS-THREADEDROD-00029
656e7ef4-c37f-4b6e-9d49-a4907d2933a7,Stainless Steel Threaded Rod Standard Configuration,Source2,97075A290
656e7ef4-c37f-4b6e-9d49-a4907d2933a7,Stainless Steel Threaded Rod Standard Configuration,Source3,THREADEDROD-29
656e7ef4-c37f-4b6e-9d49-a4907d2933a7,Stainless Steel Threaded Rod Standard Configuration,Source4,00029
4b110388-d751-4256-9037-8704ea15d609, O-Ring 18mm ID x 3.0mm CS,Customer,ERP-1000030
4b110388-d751-4256-9037-8704ea15d609, O-Ring 18mm ID x 3.0mm CS,Source1,FAS-O-RING-00030
4b110388-d751-4256-9037-8704ea15d609, O-Ring 18mm ID x 3.0mm CS,Source2,92526A489
4b110388-d751-4256-9037-8704ea15d609, O-Ring 18mm ID x 3.0mm CS,Source3,O-RING-30
4b110388-d751-4256-9037-8704ea15d609, O-Ring 18mm ID x 3.0mm CS,Source4,00030
2a1b5baf-33f2-426a-999b-21acd80d5400,Plastic Hose Standard Configuration,Customer,ERP-1000031
2a1b5baf-33f2-426a-999b-21acd80d5400,Plastic Hose Standard Configuration,Source2,95896A879
9b5d8a7c-b96d-458c-ab81-b93a9e59e3a4,Rubber Clip Standard Configuration,Customer,ERP-1000032
9b5d8a7c-b96d-458c-ab81-b93a9e59e3a4,Rubber Clip Standard Configuration,Source3,CLIP-31
8d900847-43e2-40ea-b0a0-c8757c1f65fd,Carbon Steel Lock Nut Standard Configuration,Customer,ERP-1000033
8d900847-43e2-40ea-b0a0-c8757c1f65fd,Carbon Steel Lock Nut Standard Configuration,Source2,90430A191
8c5f920b-05c5-4edd-9c89-3d04462675da,"Stainless Steel Set Screw 1/4""-18 x 1-1/2""",Customer,ERP-1000034
8c5f920b-05c5-4edd-9c89-3d04462675da,"Stainless Steel Set Screw 1/4""-18 x 1-1/2""",Source4,00031
e77ca22c-e3d8-41a8-8668-7929490121f8,Stainless Steel Set Screw M4x1.25x16mm,Customer,ERP-1000035
e77ca22c-e3d8-41a8-8668-7929490121f8,Stainless Steel Set Screw M4x1.25x16mm,Source4,00032
d6433f3c-b475-437b-a99b-b368847f26fe,Rubber Valve Standard Configuration,Customer,ERP-1000036
d6433f3c-b475-437b-a99b-b368847f26fe,Rubber Valve Standard Configuration,Source4,00033
d6433f3c-b475-437b-a99b-b368847f26fe,Rubber Valve Standard Configuration,Source2,91387A842
07c947c0-ae36-476f-bc6c-9638d516ce6e,Stainless Steel Flat Washer Standard Configuration,Customer,ERP-1000037
07c947c0-ae36-476f-bc6c-9638d516ce6e,Stainless Steel Flat Washer Standard Configuration,Source3,FLATWASHER-32
07c947c0-ae36-476f-bc6c-9638d516ce6e,Stainless Steel Flat Washer Standard Configuration,Source4,DIN 125-00034
0c682807-f30c-4ce6-857a-dc8a58108de7,Rubber Shaft Seal Standard Configuration,Customer,ERP-1000038
0c682807-f30c-4ce6-857a-dc8a58108de7,Rubber Shaft Seal Standard Configuration,Source1,FAS-SHAFTSEAL-00031
2f68d196-580d-47d0-ac8b-68e97e9fa6e0,Rubber Terminal Standard Configuration,Customer,ERP-1000039
2f68d196-580d-47d0-ac8b-68e97e9fa6e0,Rubber Terminal Standard Configuration,Source2,92390A164
423c0db8-4018-4506-ae96-810487127ac7,Steel Gasket Standard Configuration,Customer,ERP-1000040
423c0db8-4018-4506-ae96-810487127ac7,Steel Gasket Standard Configuration,Source1,FAS-GASKET-00032
423c0db8-4018-4506-ae96-810487127ac7,Steel Gasket Standard Configuration,Source4,00035
dae2c64d-7fbf-41cc-810d-aad8d2e6774f,Stainless Steel Hex Bolt M16x1.75x16mm (DIN 933),Customer,ERP-1000041
dae2c64d-7fbf-41cc-810d-aad8d2e6774f,Stainless Steel Hex Bolt M16x1.75x16mm (DIN 933),Source2,94040A838
1976e53a-728f-4a0a-b0a4-0c76bc84bb08,Carbon Steel Lock Washer Standard Configuration,Customer,ERP-1000042
1976e53a-728f-4a0a-b0a4-0c76bc84bb08,Carbon Steel Lock Washer Standard Configuration,Source2,95443A961
66d62e7e-f1d3-40d3-a7ae-5c3872aae6e9,Carbon Steel Hex Nut Standard Configuration,Customer,ERP-1000043
66d62e7e-f1d3-40d3-a7ae-5c3872aae6e9,Carbon Steel Hex Nut Standard Configuration,Source4,00036
3754094d-76fb-41cf-9bfc-c20ac5a07b1d,Steel Fitting Standard Configuration,Customer,ERP-1000044
3754094d-76fb-41cf-9bfc-c20ac5a07b1d,Steel Fitting Standard Configuration,Source4,00037
3754094d-76fb-41cf-9bfc-c20ac5a07b1d,Steel Fitting Standard Configuration,Source2,99738A239
c702a571-35dd-490e-b2c9-152127284e71,Stainless Steel Lock Washer Standard Configuration,Customer,ERP-1000045
c702a571-35dd-490e-b2c9-152127284e71,Stainless Steel Lock Washer Standard Configuration,Source2,97848A421
b3c16a34-299c-4cff-97f4-c5214e03e45c,Rubber Hose Standard Configuration,Customer,ERP-1000046
b3c16a34-299c-4cff-97f4-c5214e03e45c,Rubber Hose Standard Configuration,Source3,HOSE-33
b3c16a34-299c-4cff-97f4-c5214e03e45c,Rubber Hose Standard Configuration,Source4,00038
d3775df1-4374-4ead-9c6d-d795fe51fbd3,Carbon Steel Set Screw M6x2.0x10mm,Customer,ERP-1000047
d3775df1-4374-4ead-9c6d-d795fe51fbd3,Carbon Steel Set Screw M6x2.0x10mm,Source1,FAS-SETSCREW-00033
d3775df1-4374-4ead-9c6d-d795fe51fbd3,Carbon Steel Set Screw M6x2.0x10mm,Source3,SETSCREW-34
75ce3033-e908-49bc-83c1-98555883c87d,Steel Lubricant Standard Configuration,Customer,ERP-1000048
75ce3033-e908-49bc-83c1-98555883c87d,Steel Lubricant Standard Configuration,Source3,LUBRICANT-35
68b81866-3ca2-496f-876a-b9b89a2eccc5,Carbon Steel Lock Washer Standard Configuration,Customer,ERP-1000049
68b81866-3ca2-496f-876a-b9b89a2eccc5,Carbon Steel Lock Washer Standard Configuration,Source4,00039
bd06cf8c-7f9b-4159-9119-d8aa2e295dca,Stainless Steel Set Screw M12x0.7x10mm,Customer,ERP-1000050
bd06cf8c-7f9b-4159-9119-d8aa2e295dca,Stainless Steel Set Screw M12x0.7x10mm,Source2,90440A844
0150e863-1f60-4459-9b46-89ea0b6dd509,Bearing Housing Series 6200-Open,Customer,ERP-1000051
0150e863-1f60-4459-9b46-89ea0b6dd509,Bearing Housing Series 6200-Open,Source3,BEARINGHOUSING-36
4510f855-6d23-455f-8b2e-582678b04f67,Stainless Steel Flat Head Screw M8x2.0x16mm,Customer,ERP-1000052
4510f855-6d23-455f-8b2e-582678b04f67,Stainless Steel Flat Head Screw M8x2.0x16mm,Source1,FAS-FLATHEADSCREW-00034
71a02330-97f9-425b-a32f-56de809d9635,Rubber Quick-Connect Standard Configuration,Customer,ERP-1000053
71a02330-97f9-425b-a32f-56de809d9635,Rubber Quick-Connect Standard Configuration,Source2,94961A347
82e324da-e22c-41c0-8aa9-26fa3fd568c1,Thrust Bearing Series 6202-ZZ,Customer,ERP-1000054
82e324da-e22c-41c0-8aa9-26fa3fd568c1,Thrust Bearing Series 6202-ZZ,Source3,THRUSTBEARING-37
82e324da-e22c-41c0-8aa9-26fa3fd568c1,Thrust Bearing Series 6202-ZZ,Source2,99539A510
e73213e6-3649-474b-b4d3-e686d57fae41,Rubber Gasket Standard Configuration,Customer,ERP-1000055
e73213e6-3649-474b-b4d3-e686d57fae41,Rubber Gasket Standard Configuration,Source4,00040
5798fa79-73d6-498a-b3c1-904e3083a30f,Carbon Steel Hex Nut Standard Configuration,Customer,ERP-1000056
5798fa79-73d6-498a-b3c1-904e3083a30f,Carbon Steel Hex Nut Standard Configuration,Source4,00041
5798fa79-73d6-498a-b3c1-904e3083a30f,Carbon Steel Hex Nut Standard Configuration,Source2,98796A708
c2c1ef8b-6faa-4086-98db-05c7d6c7b7eb,Rubber Fitting Standard Configuration,Customer,ERP-1000057
c2c1ef8b-6faa-4086-98db-05c7d6c7b7eb,Rubber Fitting Standard Configuration,Source4,00042
c2c1ef8b-6faa-4086-98db-05c7d6c7b7eb,Rubber Fitting Standard Configuration,Source1,FAS-FITTING-00035
97ef2e4f-db65-4f31-a637-36852c7a6005,Bearing Housing Series 6204-ZZ,Customer,ERP-1000058
97ef2e4f-db65-4f31-a637-36852c7a6005,Bearing Housing Series 6204-ZZ,Source4,00043
92a9c314-85a6-41eb-a16f-f30f7b374658,Roller Bearing Series 6201-2RS,Customer,ERP-1000059
92a9c314-85a6-41eb-a16f-f30f7b374658,Roller Bearing Series 6201-2RS,Source3,ROLLERBEARING-38
92a9c314-85a6-41eb-a16f-f30f7b374658,Roller Bearing Series 6201-2RS,Source1,FAS-ROLLERBEARING-00036
7af21848-8515-434a-a944-2baad46dbe7a,Brass Flat Washer Standard Configuration,Customer,ERP-1000060
7af21848-8515-434a-a944-2baad46dbe7a,Brass Flat Washer Standard Configuration,Source2,96129A500
1a8e39e7-91ed-4af9-82b3-132f35fa8ecb,Bearing Housing Series 6205-ZZ,Customer,ERP-1000061
1a8e39e7-91ed-4af9-82b3-132f35fa8ecb,Bearing Housing Series 6205-ZZ,Source3,BEARINGHOUSING-39
3da62ce6-59cd-40f9-9ea6-0a2692036210,Plastic Hose Standard Configuration,Customer,ERP-1000062
3da62ce6-59cd-40f9-9ea6-0a2692036210,Plastic Hose Standard Configuration,Source2,95707A419
80aec0aa-225d-4658-8255-8be906d697a3,Rubber Quick-Connect Standard Configuration,Customer,ERP-1000063
80aec0aa-225d-4658-8255-8be906d697a3,Rubber Quick-Connect Standard Configuration,Source4,00044
80aec0aa-225d-4658-8255-8be906d697a3,Rubber Quick-Connect Standard Configuration,Source2,97801A199
31238157-3bde-48ea-81c3-8b7eddfb77ab,Carbon Steel Set Screw M10x2.5x30mm,Customer,ERP-1000064
31238157-3bde-48ea-81c3-8b7eddfb77ab,Carbon Steel Set Screw M10x2.5x30mm,Source4,00045
4c19c5d2-5820-4ef8-add7-d7f891a8028a,Rubber Fitting Standard Configuration,Customer,ERP-1000065
4c19c5d2-5820-4ef8-add7-d7f891a8028a,Rubber Fitting Standard Configuration,Source1,FAS-FITTING-00037
4c19c5d2-5820-4ef8-add7-d7f891a8028a,Rubber Fitting Standard Configuration,Source2,90370A969
e6a3e1a6-75f0-4bec-b33d-40d56239efe0,Rubber Connector Standard Configuration,Customer,ERP-1000066
e6a3e1a6-75f0-4bec-b33d-40d56239efe0,Rubber Connector Standard Configuration,Source4,00046
e6a3e1a6-75f0-4bec-b33d-40d56239efe0,Rubber Connector Standard Configuration,Source2,99042A263
d7bb27d4-a572-4336-8f8a-49b43acca2e0,Plastic Relay Standard Configuration,Customer,ERP-1000067
d7bb27d4-a572-4336-8f8a-49b43acca2e0,Plastic Relay Standard Configuration,Source1,FAS-RELAY-00038
d7bb27d4-a572-4336-8f8a-49b43acca2e0,Plastic Relay Standard Configuration,Source4,00047
6edd9961-0af6-4c52-aa85-d17f44711665,Copper Shaft Seal Standard Configuration,Customer,ERP-1000068
6edd9961-0af6-4c52-aa85-d17f44711665,Copper Shaft Seal Standard Configuration,Source4,00048
